author,idn,place,recipient,title,year,location,point,lat,lon
"Heilbut, Iwan",995868190,"New York, NY","Goulet, Alexandre",Korrespondenz,1947-1947,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",995869073,"New York, NY","Grasshoff, Fritz",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",995871302,"New York, NY","Groll, Gunter",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",995871604,"New York, NY","Gründgens, Gustaf",Korrespondenz,1948-1952,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",995898553,"New York, NY","Guinzburg, Harold K.",Korrespondenz,1941-1946,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",995898812,"New York, NY","Gumpert, Martin",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",995902305,"New York, NY","Hadas, Ethel",Korrespondenz,1941-1941,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",995918929,"New York, NY","Hagelstange, Rudolf",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",995920419,"New York, NY","Hagen, Louis",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",995925038,"New York, NY","H°akansson, Lo",Korrespondenz,1943-1945,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",995927170,"New York, NY","Hampe, Johann Christoph",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",99600498X,"New York, NY","Hauptmann, Margarete",Korrespondenz,1948-1949,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",99600629X,"New York, NY","Hausmann, Manfred",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",996196234,"New York, NY","Heilbut, Jacob",Korrespondenz,1941-1953,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",996196587,"New York, NY","Heilbut, Minna",Korrespondenz,1941-1941,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",996231013,"New York, NY","Hesse, Hermann",Korrespondenz,1947-1952,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",996258345,"New York, NY","Heynicke, Kurt",Korrespondenz,1948-1953,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",996259058,"New York, NY","Hildebrand, ... von",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
"Heilbut, Iwan",996261001,"New York, NY","Hilpert, Heinz",Korrespondenz,1948-1948,"New York, United States of America","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152
